Country,Code,Continent region,Year,Environmental factor,Death rate
Ghana,GHA,Africa,2019,Unsafe water source,17.76203442
Ghana,GHA,Africa,2019,Secondhand smoke,3.908345491
Ghana,GHA,Africa,2019,Air pollution from solid fuels,35.10214518
Greece,GRC,Europe,2019,Outdoor air pollution,58.06978858
Greece,GRC,Europe,2019,Unsafe water source,0.009326982
Greece,GRC,Europe,2019,Secondhand smoke,24.39938434
Greece,GRC,Europe,2019,Air pollution from solid fuels,0.382406253
Greenland,GRL,North America,2019,Outdoor air pollution,12.44997777
Greenland,GRL,North America,2019,Unsafe water source,0
Greenland,GRL,North America,2019,Secondhand smoke,21.34281903
Greenland,GRL,North America,2019,Air pollution from solid fuels,0
Grenada,GRD,North America,2019,Outdoor air pollution,41.55666373
Grenada,GRD,North America,2019,Unsafe water source,0.814836544
Grenada,GRD,North America,2019,Secondhand smoke,8.963201982
Grenada,GRD,North America,2019,Air pollution from solid fuels,1.629673088
Guam,GUM,Oceania,2019,Outdoor air pollution,18.38409716
Guam,GUM,Oceania,2019,Unsafe water source,2.372141569
Guam,GUM,Oceania,2019,Secondhand smoke,24.90748648
Guam,GUM,Oceania,2019,Air pollution from solid fuels,2.965176962
Guatemala,GTM,North America,2019,Outdoor air pollution,22.81976672
Guatemala,GTM,North America,2019,Unsafe water source,12.20788259
Guatemala,GTM,North America,2019,Secondhand smoke,6.209337422
Guatemala,GTM,North America,2019,Air pollution from solid fuels,31.89587875
Guinea,GIN,Africa,2019,Outdoor air pollution,19.95722941
Guinea,GIN,Africa,2019,Unsafe water source,43.19148247
Guinea,GIN,Africa,2019,Secondhand smoke,9.303019777
Guinea,GIN,Africa,2019,Air pollution from solid fuels,106.790591
Guinea-Bissau,GNB,Africa,2019,Outdoor air pollution,18.72662027
Guinea-Bissau,GNB,Africa,2019,Unsafe water source,53.4393798
Guinea-Bissau,GNB,Africa,2019,Secondhand smoke,7.257199726
Guinea-Bissau,GNB,Africa,2019,Air pollution from solid fuels,83.17867378
Guyana,GUY,South America,2019,Outdoor air pollution,51.4552058
Guyana,GUY,South America,2019,Unsafe water source,6.134562249
Guyana,GUY,South America,2019,Secondhand smoke,14.64783231
Guyana,GUY,South America,2019,Air pollution from solid fuels,6.885733137
Haiti,HTI,North America,2019,Outdoor air pollution,17.14090433
Haiti,HTI,North America,2019,Unsafe water source,31.37869679
Haiti,HTI,North America,2019,Secondhand smoke,7.544506766
Haiti,HTI,North America,2019,Air pollution from solid fuels,108.8756552
Honduras,HND,North America,2019,Outdoor air pollution,18.89780415
Honduras,HND,North America,2019,Unsafe water source,7.822204799
Honduras,HND,North America,2019,Secondhand smoke,8.203775765
Honduras,HND,North America,2019,Air pollution from solid fuels,38.91019717
Hungary,HUN,Europe,2019,Outdoor air pollution,74.93495386
Hungary,HUN,Europe,2019,Unsafe water source,0.60381894
Hungary,HUN,Europe,2019,Secondhand smoke,36.84318955
Hungary,HUN,Europe,2019,Air pollution from solid fuels,13.78549342
Iceland,ISL,Europe,2019,Outdoor air pollution,5.269536808
Iceland,ISL,Europe,2019,Unsafe water source,0
Iceland,ISL,Europe,2019,Secondhand smoke,8.320321275
Iceland,ISL,Europe,2019,Air pollution from solid fuels,0
India,IND,Asia,2019,Outdoor air pollution,82.97729746
India,IND,Asia,2019,Unsafe water source,36.74973405
India,IND,Asia,2019,Secondhand smoke,17.35925878
India,IND,Asia,2019,Air pollution from solid fuels,43.87858525
Indonesia,IDN,Asia,2019,Outdoor air pollution,40.85088816
Indonesia,IDN,Asia,2019,Unsafe water source,16.979565
Indonesia,IDN,Asia,2019,Secondhand smoke,19.49493246
Indonesia,IDN,Asia,2019,Air pollution from solid fuels,28.51330937
Iraq,IRQ,Asia,2019,Outdoor air pollution,61.68149377
Iraq,IRQ,Asia,2019,Unsafe water source,0.919075189
Iraq,IRQ,Asia,2019,Secondhand smoke,15.96351801
Iraq,IRQ,Asia,2019,Air pollution from solid fuels,0.153981183
Ireland,IRL,Europe,2019,Outdoor air pollution,11.16664032
Ireland,IRL,Europe,2019,Unsafe water source,0.020266135
Ireland,IRL,Europe,2019,Secondhand smoke,8.815768674
Ireland,IRL,Europe,2019,Air pollution from solid fuels,0.04053227
Israel,ISR,Asia,2019,Outdoor air pollution,27.38016346
Israel,ISR,Asia,2019,Unsafe water source,0.143582947
Israel,ISR,Asia,2019,Secondhand smoke,5.986304396
Israel,ISR,Asia,2019,Air pollution from solid fuels,0.044179368
Italy,ITA,Europe,2019,Outdoor air pollution,47.13449383
Italy,ITA,Europe,2019,Unsafe water source,0.078688637
Italy,ITA,Europe,2019,Secondhand smoke,14.01997128
Italy,ITA,Europe,2019,Air pollution from solid fuels,0.202581386
Jamaica,JAM,North America,2019,Outdoor air pollution,34.2600487
Jamaica,JAM,North America,2019,Unsafe water source,1.137263027
Jamaica,JAM,North America,2019,Secondhand smoke,12.08341966
Jamaica,JAM,North America,2019,Air pollution from solid fuels,7.072354451
Japan,JPN,Asia,2019,Outdoor air pollution,33.75265531
Japan,JPN,Asia,2019,Unsafe water source,0.428008497
Japan,JPN,Asia,2019,Secondhand smoke,13.26352531
Japan,JPN,Asia,2019,Air pollution from solid fuels,0.07501994
Jordan,JOR,Asia,2019,Outdoor air pollution,29.39614156
Jordan,JOR,Asia,2019,Unsafe water source,0.271061401
Jordan,JOR,Asia,2019,Secondhand smoke,9.477802081
Jordan,JOR,Asia,2019,Air pollution from solid fuels,0.01869389
Kazakhstan,KAZ,Asia,2019,Outdoor air pollution,57.81672821
Kazakhstan,KAZ,Asia,2019,Unsafe water source,0.156640986
Kazakhstan,KAZ,Asia,2019,Secondhand smoke,19.20742578
Kazakhstan,KAZ,Asia,2019,Air pollution from solid fuels,7.691612572
Kenya,KEN,Africa,2019,Outdoor air pollution,11.26170109
Kenya,KEN,Africa,2019,Unsafe water source,30.23466457
Kenya,KEN,Africa,2019,Secondhand smoke,3.595579714
Kenya,KEN,Africa,2019,Air pollution from solid fuels,43.39228815
Kiribati,KIR,Oceania,2019,Outdoor air pollution,16.09774551
Kiribati,KIR,Oceania,2019,Unsafe water source,27.36616737
Kiribati,KIR,Oceania,2019,Secondhand smoke,41.85413833
Kiribati,KIR,Oceania,2019,Air pollution from solid fuels,107.0500076
Kuwait,KWT,Asia,2019,Outdoor air pollution,34.92378014
Kuwait,KWT,Asia,2019,Unsafe water source,0.045033888
Kuwait,KWT,Asia,2019,Secondhand smoke,8.038549008
Kuwait,KWT,Asia,2019,Air pollution from solid fuels,0.022516944
Latvia,LVA,Europe,2019,Outdoor air pollution,59.09640499
Latvia,LVA,Europe,2019,Unsafe water source,0.052251463
Latvia,LVA,Europe,2019,Secondhand smoke,25.9167258
Latvia,LVA,Europe,2019,Air pollution from solid fuels,5.434152183
Lebanon,LBN,Asia,2019,Outdoor air pollution,58.61387947
Lebanon,LBN,Asia,2019,Unsafe water source,0.691813272
Lebanon,LBN,Asia,2019,Secondhand smoke,23.38328859
Lebanon,LBN,Asia,2019,Air pollution from solid fuels,0.172953318
Lesotho,LSO,Africa,2019,Outdoor air pollution,39.71780589
Lesotho,LSO,Africa,2019,Unsafe water source,54.72430721
Lesotho,LSO,Africa,2019,Secondhand smoke,21.65608873
Lesotho,LSO,Africa,2019,Air pollution from solid fuels,73.37010975
