Country,Code,Continent_Region,Year,Outdoor_air_pollution,Unsafe_water_source,Secondhand_smoke,Household_air_pollution_from_solid_fuels,Air_pollution,Total_Death_Rate,Population,Outdoor_air_pollution_per_100k_people,Unsafe_water_source_per_100k_people,Secondhand_smoke_per_100k_people,Household_air_pollution_from_solid_fuels_per_100k_people,Air_pollution_per_100k_people
Sudan,SDN,Africa,2019,17006,5480,4568,11310,28163,220694,43232093,39.3365179,12.67576844,10.56622449,26.16112063,65.14373477
Suriname,SUR,South America,2019,261,29,95,47,308,4240,600301,43.47818844,4.830909827,15.82539426,7.829405582,51.30759402
Sweden,SWE,Europe,2019,757,19,739,3,758,73216,10278887,7.364610585,0.184844916,7.189494349,0.029186039,7.374339265
Switzerland,CHE,Europe,2019,1621,5,677,1,1608,53783,8575280,18.90317284,0.058307134,7.894785943,0.011661427,18.75157429
Tajikistan,TJK,Asia,2019,4890,550,1364,2607,7455,58568,9337003,52.37226549,5.890541108,14.60854195,27.92116485,79.8436072
Tanzania,TZA,Africa,2019,6427,13203,3616,39165,45491,243035,59872579,10.73446327,22.05183111,6.039492637,65.41391845,75.97969013
Thailand,THA,Asia,2019,33772,5010,9435,7450,40878,430315,71307763,47.36090235,7.025883002,13.23137847,10.44767033,57.32615676
Togo,TGO,Africa,2019,1699,5038,512,5060,6713,37193,8243094,20.61119284,61.11782784,6.211259995,61.38471792,81.43786787
Tonga,TON,Oceania,2019,21,2,26,31,52,735,104951,20.00933769,1.905651209,24.77346571,29.53759373,49.54693143
Trinidad and Tobago,TTO,North America,2019,891,17,285,1,892,14279,1519955,58.62015652,1.118454165,18.75055512,0.065791421,58.68594794
Tunisia,TUN,Africa,2019,7553,76,2405,21,7530,85516,12049314,62.6840665,0.630741302,19.95964252,0.174283781,62.49318426
Turkmenistan,TKM,Asia,2019,3608,47,1476,5,3608,46117,6158420,58.58645562,0.763182764,23.96718639,0.081189656,58.58645562
Tuvalu,TUV,Oceania,2019,2,1,5,2,4,124,10956,18.25483753,9.127418766,45.63709383,18.25483753,36.50967506
Uganda,UGA,Africa,2019,4808,9199,1224,23001,27677,136163,42949080,11.1946519,21.41838661,2.849886424,53.55411571,64.44142692
Ukraine,UKR,Europe,2019,43458,44,16078,2728,46129,856572,44386203,97.90880288,0.099129903,36.22296775,6.146053989,103.9264386
United Arab Emirates,ARE,Asia,2019,3401,26,937,0,3361,34788,9211657,36.92061048,0.282251065,10.17189416,0,36.48637808
United Kingdom,GBR,Europe,2019,15050,40,8277,12,15026,481831,66836327,22.51769461,0.059847693,12.38398394,0.017954308,22.48178599
United States,USA,North America,2019,60572,382,35583,150,60229,2549358,328329953,18.44851481,0.116346376,10.83757351,0.04568575,18.34404673
Uruguay,URY,South America,2019,769,57,789,53,820,25129,3428409,22.4302293,1.662578765,23.01359027,1.545906571,23.91779977
Uzbekistan,UZB,Asia,2019,26991,86,6078,3164,30096,290223,33580350,80.37736355,0.256102155,18.09987091,9.422176958,89.62384252
Vanuatu,VUT,Oceania,2019,55,56,64,361,416,2975,304404,18.06809372,18.39660451,21.02469087,118.5923969,136.6604907
Vietnam,VNM,Asia,2019,38776,1251,19085,33247,71701,706638,95776716,40.48583165,1.306162972,19.92655501,34.71302983,74.86266286
Zambia,ZMB,Africa,2019,3048,5915,919,8822,11826,72280,18380477,16.5828123,32.1808841,4.999870243,47.99657811,64.34000597
Zimbabwe,ZWE,Africa,2019,2680,3914,1646,10019,12667,81732,15354608,17.45404376,25.49071914,10.71990897,65.25077032,82.49640759
